1021753.687500, -7705.888184, -23262.640625, 0, 200
1021736.500000, -7640.882813, -23425.437500, 0, 165
1021718.625000, -7632.371582, -23603.994141, 0, 165
1021700.187500, -7612.194824, -23780.876953, 0, 165
1021679.312500, -7590.773926, -23956.970703, 0, 164
1021658.187500, -7571.399902, -24133.548828, 0, 165
1021637.125000, -7554.062500, -24310.585938, 0, 165
1021616.000000, -7537.674805, -24487.763672, 0, 165
1021595.875000, -7522.519531, -24657.251953, 0, 157
1021454.375000, -7514.134277, -24735.019531, 0, 158
1021290.125000, -7511.398438, -24751.050781, 0, 151
1021111.250000, -7506.582031, -24768.279297, 0, 165
1020947.625000, -7554.099121, -24784.832031, 0, 200
1020932.625000, -7503.874023, -24786.275391, 0, 165
1020753.437500, -7495.663574, -24793.261719, 0, 165
1020575.687500, -7476.273926, -24797.375000, 0, 164
1020398.062500, -7455.281738, -24801.593750, 0, 164
1020218.437500, -7450.569336, -24810.410156, 0, 165
1020053.687500, -7446.242676, -24819.296875, 0, 151
1019874.312500, -7439.812500, -24830.468750, 0, 165
1019695.187500, -7431.006836, -24843.552734, 0, 165
1019516.000000, -7422.281738, -24855.652344, 0, 165
1019336.437500, -7414.729980, -24862.949219, 0, 165
1019158.875000, -7410.136230, -24890.091797, 0, 165
1019000.875000, -7389.496582, -24936.417969, 0, 152
1018850.000000, -7367.160645, -25003.037109, 0, 152
1018860.750000, -7431.316406, -24999.816406, 0, 200
1018839.750000, -7417.300293, -25156.216797, 0, 162
1018813.000000, -7412.287109, -25318.994141, 0, 151
1018811.500000, -7404.150391, -25490.300781, 0, 157
1018813.250000, -7400.015137, -25666.927734, 0, 158
1018791.000000, -7401.422852, -25842.833984, 0, 158
1018751.750000, -7405.211426, -26015.468750, 0, 163
1018706.937500, -7412.920898, -26174.179688, 0, 151
1018643.000000, -7415.376953, -26342.337891, 0, 165
1018570.312500, -7423.803711, -26490.576172, 0, 151
1018478.125000, -7419.859863, -26644.730469, 0, 165
1018394.062500, -7440.204590, -26787.517578, 0, 153
1018270.437500, -7437.127930, -26888.855469, 0, 153
1018137.125000, -7434.159180, -26979.433594, 0, 153
1017996.125000, -7416.049316, -27071.716797, 0, 157
1017856.625000, -7418.058594, -27159.880859, 0, 151
1017716.875000, -7420.782227, -27248.083984, 0, 151
1017583.187500, -7423.387207, -27332.314453, 0, 152
1017587.125000, -7473.312988, -27329.943359, 0, 200
1017425.312500, -7459.403320, -27304.080078, 0, 164
1017264.875000, -7460.604980, -27264.816406, 0, 151
1017105.000000, -7471.194336, -27218.244141, 0, 152
1016948.562500, -7497.525879, -27165.921875, 0, 152
1016800.375000, -7513.359863, -27092.972656, 0, 151
1016662.812500, -7512.631348, -26977.212891, 0, 165
1016561.125000, -7532.264160, -26847.296875, 0, 152
1016462.875000, -7538.459961, -26714.728516, 0, 151
1016359.375000, -7537.153809, -26567.734375, 0, 165
1016268.000000, -7539.500488, -26430.306641, 0, 151
1016168.250000, -7538.955078, -26280.642578, 0, 165
1016068.937500, -7537.513184, -26130.609375, 0, 165
1015980.062500, -7537.016113, -25974.289063, 0, 165
1015904.500000, -7554.654785, -25827.578125, 0, 151
1015832.000000, -7573.481934, -25679.287109, 0, 152
1015763.750000, -7587.196289, -25529.205078, 0, 151
1015702.062500, -7594.921875, -25376.078125, 0, 151
1015646.875000, -7599.102051, -25220.685547, 0, 151
1015597.062500, -7634.131836, -25065.511719, 0, 153
1015579.812500, -7696.846191, -25016.718750, 0, 200
1015484.375000, -7644.833496, -25175.443359, 0, 161
1015356.812500, -7673.494141, -25280.224609, 0, 153
1015234.875000, -7704.409180, -25395.052734, 0, 155
1015107.312500, -7731.094238, -25516.671875, 0, 159
