130510.367188, -37036.656250, 413447.250000, 0, 176
130639.078125, -37039.945313, 413327.687500, 0, 173
130765.000000, -37045.996094, 413210.656250, 0, 174
130891.867188, -37052.363281, 413092.812500, 0, 176
131020.335938, -37058.238281, 412973.437500, 0, 173
131146.906250, -37063.199219, 412855.875000, 0, 179
131277.718750, -37062.687500, 412734.968750, 0, 180
131410.734375, -37056.925781, 412615.281250, 0, 175
131541.484375, -37060.843750, 412499.281250, 0, 175
131672.156250, -37055.750000, 412384.281250, 0, 174
131802.031250, -37029.894531, 412272.750000, 0, 158
131913.390625, -37023.398438, 412161.375000, 0, 183
132048.750000, -37024.339844, 412038.531250, 0, 171
132175.031250, -37027.726563, 411923.937500, 0, 173
132302.484375, -37026.109375, 411808.437500, 0, 179
132434.390625, -37014.039063, 411689.406250, 0, 176
132515.390625, -37001.699219, 411534.531250, 0, 184
132652.031250, -36995.570313, 411412.406250, 0, 157
132772.125000, -36992.750000, 411312.500000, 0, 156
132906.171875, -36986.859375, 411234.875000, 0, 153
133043.703125, -36980.929688, 411168.250000, 0, 175
133200.906250, -36969.144531, 411094.031250, 0, 177
133360.906250, -36965.496094, 411020.406250, 0, 184
133526.593750, -36988.964844, 410946.281250, 0, 182
133691.828125, -37006.089844, 410873.062500, 0, 189
133862.343750, -36980.468750, 410797.593750, 0, 154
134002.390625, -36960.218750, 410738.437500, 0, 163
134152.703125, -36939.519531, 410680.906250, 0, 163
134269.359375, -36939.074219, 410793.937500, 0, 172
134391.484375, -36940.375000, 410913.875000, 0, 177
134516.156250, -36961.238281, 411037.656250, 0, 169
134630.328125, -36982.457031, 411159.281250, 0, 176
134748.953125, -37010.640625, 411284.875000, 0, 174
134863.875000, -37033.007813, 411412.312500, 0, 159
134902.468750, -37058.964844, 411563.781250, 0, 171
134985.812500, -37070.015625, 411712.343750, 0, 170
135114.890625, -37069.257813, 411821.812500, 0, 183
135257.968750, -37073.847656, 411934.812500, 0, 172
135392.218750, -37081.882813, 412040.687500, 0, 185
135553.203125, -37083.214844, 412131.312500, 0, 165
135709.343750, -37083.671875, 412181.875000, 0, 174
135877.156250, -37078.046875, 412226.625000, 0, 173
136043.406250, -37065.421875, 412271.000000, 0, 172
136208.250000, -37065.859375, 412318.125000, 0, 172
136371.906250, -37066.898438, 412368.125000, 0, 170
136534.265625, -37068.589844, 412417.718750, 0, 167
136692.906250, -37067.796875, 412467.625000, 0, 177
136860.109375, -37071.183594, 412523.937500, 0, 166
137015.078125, -37081.042969, 412581.343750, 0, 172
137176.093750, -37090.328125, 412641.062500, 0, 178
137341.437500, -37109.957031, 412703.312500, 0, 156
137479.687500, -37150.722656, 412762.437500, 0, 164
137618.343750, -37193.210938, 412837.781250, 0, 158
137721.859375, -37205.164063, 412956.312500, 0, 153
137835.718750, -37212.914063, 413058.187500, 0, 157
137959.406250, -37220.062500, 413153.218750, 0, 164
138088.031250, -37226.820313, 413254.187500, 0, 160
138188.859375, -37236.578125, 413377.781250, 0, 164
138291.734375, -37244.503906, 413504.843750, 0, 170
138397.531250, -37256.933594, 413636.781250, 0, 172
138495.781250, -37275.199219, 413776.125000, 0, 152
138576.203125, -37291.234375, 413903.718750, 0, 172
138660.468750, -37302.390625, 414052.968750, 0, 168
138730.062500, -37298.820313, 414204.937500, 0, 164
138787.812500, -37295.000000, 414357.468750, 0, 159
138761.421875, -37285.917969, 414513.218750, 0, 164
138707.109375, -37260.910156, 414665.125000, 0, 173
138549.906250, -37241.886719, 414734.437500, 0, 174
138379.859375, -37219.218750, 414756.843750, 0, 174
138276.156250, -37253.800781, 414621.937500, 0, 178
138099.140625, -37248.906250, 414629.843750, 0, 179
137921.718750, -37245.316406, 414648.781250, 0, 167
137756.140625, -37249.609375, 414666.250000, 0, 185
137573.093750, -37244.941406, 414685.343750, 0, 186
137401.953125, -37201.824219, 414627.875000, 0, 165
137250.828125, -37162.714844, 414577.500000, 0, 160
137100.906250, -37134.496094, 414529.500000, 0, 151
136958.343750, -37112.734375, 414485.843750, 0, 154
136812.640625, -37090.324219, 414442.875000, 0, 161
136658.890625, -37095.031250, 414398.437500, 0, 156
136509.437500, -37086.742188, 414355.812500, 0, 185
136333.531250, -37106.152344, 414304.687500, 0, 160
136180.171875, -37106.328125, 414260.343750, 0, 168
136034.796875, -37061.417969, 414190.968750, 0, 160
135880.093750, -37061.417969, 414152.781250, 0, 177
135705.968750, -37088.777344, 414153.062500, 0, 151
135556.140625, -37083.828125, 414162.156250, 0, 164
135397.437500, -37060.441406, 414130.718750, 0, 162
135240.250000, -37052.136719, 414092.906250, 0, 160
135086.437500, -37071.054688, 414053.968750, 0, 182
134927.328125, -37095.136719, 413971.000000, 0, 155
134789.375000, -37087.589844, 413901.312500, 0, 153
134651.921875, -37087.589844, 413834.656250, 0, 151
134520.000000, -37079.515625, 413762.250000, 0, 181
134365.015625, -37071.789063, 413670.031250, 0, 182
134208.812500, -37071.550781, 413577.250000, 0, 154
134077.093750, -37048.906250, 413502.687500, 0, 152
133944.765625, -37061.882813, 413430.062500, 0, 153
133802.609375, -37076.421875, 413377.625000, 0, 156
133653.671875, -37068.980469, 413332.562500, 0, 170
133489.812500, -37087.632813, 413293.375000, 0, 157
133334.906250, -37087.632813, 413274.843750, 0, 186
133160.140625, -37094.523438, 413336.468750, 0, 163
133002.265625, -37094.492188, 413375.156250, 0, 162
132842.390625, -37086.015625, 413396.281250, 0, 175
132684.562500, -37031.921875, 413446.718750, 0, 159
132547.968750, -37041.859375, 413527.187500, 0, 162
